Value counts for ID MNPDB:
ID MNPDB
MNPDB00441     1000
MNPDB00423     1000
MNPDB00240     1000
MNPDB00453     1000
MNPDB00442     1000
MNPDB00494     1000
MNPDB00425     1000
MNPDB00264     1000
MNPDB00266     1000
MNPDB00485     1000
MNPDB00268     1000
MNPDB00422     1000
MNPDB00524     1000
MNPDB00440      972
MNPDB00439      950
MNPDB00520      913
MNPDB00205      907
MNPDB00079      894
MNPDB00242      891
MNPDB00206      889
MNPDB00527      883
MNPDB00469      872
MNPDB00550      849
MNPDB00459      843
MNPDB00213      833
MNPDB00468      826
MNPDB00241      825
MNPDB00521      792
MNPDB00258      780
MNPDB00522      776
MNPDB00455      714
MNPDB00424      708
MNPDB00473      703
MNPDB00231      701
MNPDB00217      698
MNPDB00277      691
MNPDB00510      688
MNPBD00282      683
MNPDB00281      683
MNPDB00279      677
MNPDB00457      655
MNPDB00458      655
MNPDB00495      653
MNPDB00278      652
MNPDB00260      625
MNPDB00489      608
MNPDB00509      608
MNPDB00508      606
MNPDB00454      584
MNPDB00082      557
MNPDB00528      546
MNPDB00411      532
MNPDB00443      526
MNPDB00209      513
MNPDB00245      512
MNPDB00128      491
MNPDB00208      466
MNPDB00470      457
MNPDB00565      456
MNPDB00259      453
MNPDB00254      444
MNPDB00452      426
MNPDB00261      403
MNPDB00210      361
MNPDB00532      359
MNPDB00540      354
MNPDB00537      354
MNPDB00435      352
MNPDB00244      351
MNPDB00551      346
MNPDB00280      335
MNPDB00554      322
MNPDB00525      320
MNPDB00481      310
MNPDB00262      299
MNPDB00544      296
MNPDB00284      270
MNPDB00256      260
MNPDB00421      254
MNPDB00239      239
MNPDB00283      239
MNPDB00224      235
MNPDB00212      235
MNPDB00484      233
MNPDB00418      212
MNPDB00512      209
MNPDB00203      208
MNPDB00558      206
MNPDB00543      205
MNPDB00488      198
MNPDB00243      182
MNPDB00486      179
MNPDB00436      170
MNPDB00448      165
MNPDB00247      151
MNPDB00225      151
MNPDB00536      144
MNPDB00237      141
MNPDB00514      140
MNPDB00431      138
MNPDB00433      138
MNPDB00083      137
MNPDB00476      130
MNPDB00255      130
MNPDB00456      129
MNPDB00475      129
MNPDB00200      126
MNPDB00432      125
MNPDB00552      124
MNPDB00474      122
MNPDB00500      120
MNPDB00517      120
MNPDB00467      118
MNPDB00466      117
MNPDB00415      117
MNPDB00446      115
MNPDB00472      115
MNPDB00560      113
MNPDB00434      103
MNPDB00269      103
MNPDB00267      102
MNPDB00429      100
MNPDB00226       96
MNPDB00420       96
MNPDB00081       95
MNPDB00430       94
MNPDB00479       94
MNPDB00515       93
MNPDB00232       92
MNPDB00516       88
MNPDB00519       86
MNPDB00201       85
MNPDB00062       82
MNPDB00274       82
MNPDB00074       81
MNPDB00272       79
MNPDB00408       78
MNPDB00416       77
MNPDB00218       76
MNPDB00462       76
MNPDB00413       75
MNPDB00490       75
MNPDB00158       74
MNPDB00451       73
MNPDB00068       71
MNPDB00477       71
MNPDB00215       71
MNPDB00513       67
MNPDB00234       66
MNPDB00445       65
MNPDB00146       62
MNPDB00276       61
MNPDB00507       60
MNPDB00506       60
MNPDB00409       56
MNPDB00257       56
MNPDB00557       55
MNPDB00412       54
